Building_Project_Type,Country,Primary_Foundation_Type,Primary_Ground_Floor_Type,Primary_Vertical_Element_Type,Primary_Horizontal_Element_Type,Primary_Slab_Type,Primary_Cladding_Type,Primary_Heating_Type,Primary_Cooling_Type,Primary_Finishes_Type,Primary_Ventilation_Type,Total_Embodied_Carbon
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Steel,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Unknown,Mixed mode,1002.2
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Corbels,Suspended,Steel,Not applicable,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,ARGENTINA,Not applicable,Not applicable,Not applicable,Not applicable,Timber,Stone,Unknown,Chiller - Water distribution,Not applicable,Full mechanical,1002.2
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,AUSTRALIA,Not applicable,Not applicable,Not applicable,Unknown,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,UNITED KINGDOM,Corbels,Ground bearing RC,Unknown,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
Retrofit,UNITED KINGDOM,Corbels,Unknown,Steel,Timber,Hybrid,Masonry Only,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Air distribution,Shell and core,Mixed mode,0.9166666666666663
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45.741142857142854
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Concrete,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,270.7914394904459
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
New built,missing,Piles (pile caps),Suspended,Steel,Steel,Steel,Glazed/Curtain Wall,Not applicable,Not applicable,Shell and core,Not applicable,308.9237419354838
