Building_Project_Type,Primary_Foundation_Type,Primary_Ground_Floor_Type,Primary_Vertical_Element_Type,Primary_Horizontal_Element_Type,Primary_Slab_Type,Primary_Cladding_Type,Primary_Heating_Type,Primary_Cooling_Type,Primary_Finishes_Type,Primary_Ventilation_Type,Total_Embodied_Carbon_PER_m2
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,1,1,0.9166666666666663
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,45.741142857142854
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,0,5,3,4,2,3,270.7914394904459
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,2,2,1,1,3,0,3,4,1,3,308.9237419354838
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,117.14012654890588
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,120.37206651604895
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
2,3,2,2,2,4,5,3,4,2,3,92.48319062122869
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
1,2,2,1,1,0,5,3,4,2,3,43.65828571428571
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,1,2,1,1,0,5,3,4,2,3,362.0596892886345
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
2,3,2,1,1,5,5,3,4,2,3,235.53956148713056
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
0,3,3,1,1,4,2,2,2,2,2,7.366449511400651
